Model,Company,Color,Type,Average Rating,Number of Ratings,Selling Price,Maximum Retail Price,Discount
Rfv1 Tws Bluetooth Earphones Touch Sensor With In Built...,Rfv1,White, True Wireless,3.7,45,499,999,500
Aroma Nb119 Advance - 40 Hours Playtime Bluetooth Neckb...,Aroma,Yellow, Black,3.9,55,533,999,466
Icall Bbd-Mini S650 Wireless Bluetooth In-Ear V4.0 With...,Icall,Black, True Wireless,3.1,56,349,999,650
Xb9 Bluetooth Neckband Red 01 Bluetooth Headset,Xb9,Red, In the Ear,3.3,56,300,999,699
Aroma Nb119 Advance - 40 Hours Playtime Bluetooth Neckb...,Aroma,Yellow, Black,3.6,72,533,999,466
Tigenecy I7S Single 2 Pic Ear Sound With Mic Bluetooth ...,Tigenecy,White, True Wireless,3.5,85,221,999,778
Youshee Tech I7S Tws Bluetooth Headset,Youshee,White, True Wireless,3.6,97,359,999,640
Tigenecy Low Price All Mobile Supported Combo -K1 Bluet...,Tigenecy,Black, In the Ear,4.4,108,225,999,774
Boat Bassheads 100 Wired Headset,Boat,Courageous Orange, In the Ear,3.6,113,399,999,600
Flysto K1 Bluetoothmini S650 Mini Bluetooth Earphone Co...,Flysto,Black, True Wireless,3.5,118,300,999,699
Brd Bluetoothheadset-A8 Bluetooth Headset,Brd,Black, True Wireless,3.4,142,220,999,779
Czech Wireless/Bluetooth Headset Bluetooth Headset,Czech,Multicolor, In the Ear,3.5,172,240,999,759
Hyatt Creation Wireless Bluetooth Earphone Bluetooth Wi...,Hyatt,White, In the Ear,3.3,193,569,999,430
Brd Bluetoothheadset-A32 Bluetooth Headset,Brd,White, True Wireless,3.7,302,199,999,800
Clerby Tws Wireless Bluetooth Earphone Portable Bluetoo...,Clerby,White, In the Ear,3.3,320,299,999,700
Clerby Tws Wireless Bluetooth Earphone Portable Bluetoo...,Clerby,White, In the Ear,3.3,320,299,999,700
Wow Wireless Duel Driver Wired Headset (Blue In Ear) Wi...,Wow,Blue, In the Ear,3.8,355,235,999,764
Jbl C100Tws True Wireless With Google Assistant Bluetoo...,Jbl,Black, True Wireless,3.7,501,2499,999,1500
Defy Crestx With 16 Hours Playtime And Low Latency Blue...,Defy,Active Black, In the Ear,4.4,528,699,999,300
Defy Crestx With 16 Hours Playtime And Low Latency Blue...,Defy,Lively Green, In the Ear,4.4,528,699,999,300
Brd Bluetoothheadset-A32 Bluetooth Headset,Brd,White, True Wireless,3.5,573,199,999,800
Fier Mgnt_K1-2 Bluetooth Headset Bluetooth Without Mic ...,Fier,Black, True Wireless,3.5,573,228,999,771
Jbl T50Hi Wired Headset,Jbl,Red, In the Ear,3.5,573,549,999,450
Sandarbh I7S Tws Ear Buds Wireless Bluetooth Earphone T...,Sandarbh,White, True Wireless,3.8,610,349,999,650
"Axyro Low Price ,Hbs-730 Sports Wireless Bluetooth Head...",Axyro,Multicolor, On the Ear,3.8,665,303,999,696
Axyro Sn-K1 356 Bluetooth Headset,Axyro,Black, In the Ear,3.8,999,152,999,847
Czech Deep Bass Earphone Mobile Headset With Mic.... Bl...,Czech,Black, In the Ear,4,1032,218,999,781
Cadnut Hbs 730 Wireless Neckband Bluetooth Earphone Blu...,Cadnut,Black, True Wireless,4.1,1089,238,999,761
Blythe Kaju Bluetooth Mini Earphone Bluetooth Headset,Blythe,Black, True Wireless,3.7,1163,179,999,820
Icall X9 Earbuds Bluetooth Earphones Single Side Blueto...,Icall,Black, True Wireless,3.5,1169,392,999,607
Sowme Q20 Bluetooth Magnetic Handsfree Headphones For S...,Sowme,Red, In the Ear,3.6,1201,132,999,867
Flysto K1 Bluetoothmini S650 Mini Bluetooth Earphone Co...,Flysto,Black, True Wireless,3.8,1212,300,999,699
Rpm Euro Games Gaming Earphones Headphones For Mobile P...,Rpm,Blue, In the Ear,3.7,1233,699,999,300
Brd Bluetoothheadset-A33 Bluetooth Headset,Brd,White, True Wireless,3.5,1269,260,999,739
D1Enterprises Samsung Ehs-61 Orginal Earphones On The E...,Samsung,White, In the Ear,3.6,1750,149,999,850
"Webster Sa__Msung Gal-Axy J4 Plus,Note 8,A9,J2 Core,J6 ...",Samsung,White, In the Ear,3.5,1755,175,999,824
Skykey Tig-Blk-Megnet-74 Bluetooth Headset,Skykey,Black, In the Ear,3.3,1842,176,999,823
Wow Wireless Duel Driver Wired Headset (Blue In Ear) Wi...,Wow,Blue, In the Ear,3.6,1904,235,999,764
Tigenecy All Mobile Supported Combo -K1 Bluetooth Megne...,Tigenecy,Black, In the Ear,4.1,3030,239,999,760
Tigenecy Low Price Bluetooth Neckband Bluetooth K1 Head...,Tigenecy,Black, In the Ear,3.8,3374,151,999,848
Platina 1000 Bluetooth Headset,Platina,Multicolor, In the Ear,3.4,3550,245,999,754
N2B Magnet Red & Black-K1-I7 Pack Of 4 Bluetooth Blueto...,N2B,Black, White,3.3,4387,470,999,529
Boat Bassheads 104 Wired Headset,Boat,Admiral, In the Ear,4.1,5047,399,999,600
Tigenecy Low Price All Mobile'Supported Bluetooth 2 Pic...,Tigenecy,Black, True Wireless,4.1,9930,232,999,767
Krazzy India B11 Red Bluetooth Headset,Krazzy,Red, In the Ear,4.2,10071,235,999,764
Allmusic Opp.O Ultra Hd Sound Premium Bass Sports /Gym/...,Allmusic,Black, In the Ear,3.8,10766,270,999,729
Tigenecy Low Price All Mobile Supported Combo -K1 Bluet...,Tigenecy,Black, In the Ear,3.9,14726,225,999,774
Xb9 Bluetooth Neckband Blue 01 Bluetooth Headset,Xb9,Blue, In the Ear,4.2,19975,300,999,699
Boat Bassheads 104 Wired Headset,Boat,White, In the Ear,4.2,25388,399,999,600
Redmi By Mi Hi-Resolution Audio Wired Headset,Redmi,Black, In the Ear,4.2,25388,399,999,600
Jbl T50Hi Wired Headset,Jbl,Red, In the Ear,3.3,26491,549,999,450
"Asworld Earphones Wired, Bluetooth Headset",Asworld,White, In the Ear,4,29660,499,999,500
Teqir Stereo Music Hanging Neckband Wireless Earphone B...,Teqir,Black, In the Ear,4,29660,499,999,500
Boult Audio Bassbuds X1 Wired Headset,Boult,Black, In the Ear,3.9,35280,349,999,650
Fier Mgnt_K1-2 Bluetooth Headset Bluetooth Without Mic ...,Fier,Black, True Wireless,3.9,35280,228,999,771
Mj Hub Hbs-730 Wireless/Bluetooth Earphone Compatible A...,Mj,Black, In the Ear,3.9,35280,199,999,800
Oxhox Magnetic Bluetooth Headset With Mic Bluetooth Hea...,Oxhox,Black, In the Ear,3.9,35280,144,999,855
Ruhi Collection Best Collection Earphones For In-Ear Ha...,Ruhi,White, In the Ear,3.9,35280,169,999,830
Brd Bluetoothheadset-A25 Bluetooth Headset,Brd,White, True Wireless,3.7,92346,260,999,739
Yrut New Soon_Ny Super Bass Sound Low Price In2 Bluetoo...,Yrut,Blue, In the Ear,4.3,114661,498,999,501
Boult Audio Bassbuds X1 Wired Headset,Boult,Red, In the Ear,4.1,166582,299,999,700
Axyro Ar-7-Single-White-210 Bluetooth Headset,Axyro,White, Steel,3.9,221939,167,999,832
Pervious Wired Earphones With Mic Light-Weight And Tang...,Pervious,White, In the Ear,4,333036,179,999,820
Skykey Tig-Blk-K1-72 Bluetooth Headset,Skykey,Black, In the Ear,4,333036,151,999,848
Krazzy India B11 Red Bluetooth Headset,Krazzy,Red, In the Ear,4.3,405112,235,999,764
Boat Bassheads 100 Wired Headset,Boat,Black, In the Ear,4.3,535144,399,999,600
Boat Bassheads 220 Wired Headset,Boat,Red, In the Ear,4.2,824592,404,999,595
Boat Bassheads 220 Super Extra Bass Wired Headset,Boat,Neon Lime, In the Ear,4.2,824592,399,999,600
Fier Mgnt_K1-2 Bluetooth Headset Bluetooth Without Mic ...,Fier,Black, True Wireless,4.2,887466,228,999,771
Boat Bassheads 100 Wired Headset,Boat,Furious Red, In the Ear,4.3,1049774,399,999,600
Boat Bassheads 100 Wired Headset,Boat,Taffy Pink, In the Ear,4.3,1049774,399,999,600
Boat Bassheads 100 Wired Headset,Boat,Mint Orange, In the Ear,4.3,1049774,399,999,600
Boat Bassheads 100 Wired Headset,Boat,Courageous Orange, In the Ear,4.3,1049774,399,999,600
Icall Bbd-S650 One Side Earbuds (With Charging Cable) B...,Icall,Black, True Wireless,3.5,17,208,1025,817
U&I Prime Shuffle 2 Wireless Neckband With Sports And M...,U&I,Black, In the Ear,3.5,17,499,1025,526
Hitage Gh1927+ Wired Gaming Earphone With Detachable Lo...,Hitage,Blue, In the Ear,3.6,11,499,1098,599
Futurestarrkk Realmen Bluetooth Neckband In The Ear Blu...,Futurestarrkk,Black, Yellow,4.1,88,219,1099,880
Qexle Harons_Hbs730_01 Bluetooth Headset,Qexle,Black, In the Ear,4.1,88,399,1099,700
Syara Wnf_696L_Level Neck Band Bluetooth Headset Blueto...,Syara,Black, In the Ear,3.8,679,589,1099,510
Digiclues Smart Tws L-21 With Charging Case Bluetooth H...,Digiclues,Black, True Wireless,4,1934,999,1099,100
Skullcandy S2Dul-J571 Wired Headset,Skullcandy,Purple/Black, In the Ear,4,1934,629,1099,470
"Fier Fgn-K1B,K1W Pack 2Bluetooth,Headphone Bluetooth He...",Fier,Black, White,3.7,6288,217,1149,932
Cosmic Byte Stardust Wired Gaming Headset,Cosmic,Blue, On the Ear,4.2,10071,799,1149,350
Cosmic Byte Stardust Wired Gaming Headset,Cosmic,Blue, On the Ear,3.9,13327,799,1149,350
Vr World Bt01 Blutooth Headset Bluetooth Headset,Vr,Black, In the Ear,3.3,188,181,1190,1009
