Model,Company,Color,Type,Average Rating,Number of Ratings,Selling Price,Maximum Retail Price,Discount
Ubon Bt-5720 Rapstar Wireless 5.0 On Ear Headphone 10 H...,Ubon,Black, On the Ear,3.5,1638,999,1999,1000
Dayneo Twsl21 Mini Wireless Bluetooth Headset / Earphon...,Dayneo,Black, True Wireless,3.7,1762,664,1999,1335
Digiclues Smart With Charging Case Bluetooth Headset,Digiclues,White, True Wireless,3.3,1842,649,1999,1350
Aroma Nb120 Tehalka - 28 Hours Playtime Bluetooth Neckb...,Aroma,Black, In the Ear,3.5,2169,379,1999,1620
Pokryt Bt26 Long Life Battery Backup 24 Hours With Mic ...,Pokryt,Black, In the Ear,3.5,2649,899,1999,1100
Figer Bt Sl 231 Bluetooth Headset,Figer,Silver, Black,4,2834,499,1999,1500
U&I Fighter Series Deep Bass Neckband With 12 Hours Mus...,U&I,Black, In the Ear,4,2834,399,1999,1600
Callmate Collartune (35 Hours Backup) Wireless Neckband...,Callmate,Gold, In the Ear,4.1,3030,660,1999,1339
Reborn 30 Hours Non-Stop Backup Unquie Hq Neckband Wire...,Reborn,Black, In the Ear,4,3142,549,1999,1450
Realme Buds Wireless Bluetooth Headset,Realme,Yellow, In the Ear,4,4948,1780,1999,219
Earboss Truly Wireless Earbuds/Pod/ Buds 5.0 Bluetooth ...,Earboss,Black, True Wireless,4,6102,664,1999,1335
Portronics Harmonics 216 Bluetooth Headset,Portronics,Black, In the Ear,4,6245,799,1999,1200
Boat Bassheads 220 Wired Headset,Boat,Molten Orange, In the Ear,3.7,6288,549,1999,1450
Samsung Original Ehs64 Black Wired Headset,Samsung,Black, In the Ear,4.2,6452,499,1999,1500
Hitage Nbt-6578+ 41 Hours Grate Design Original Sound W...,Hitage,Multicolor, In the Ear,3.4,6829,799,1999,1200
Kasodh B0T-1 Bluetooth Headset,Kasodh,Red, Black,4,7195,298,1999,1701
Clownfish Headphon Bluetooth Wireless I-12 Black In The...,Clownfish,Black, True Wireless,3.6,8279,469,1999,1530
Aroma Nb120B Dhoom - 28 Hours Playtime Bluetooth Neckba...,Aroma,Black, In the Ear,4,9619,379,1999,1620
Aroma Nb120 Tehalka - 28 Hours Playtime Bluetooth Neckb...,Aroma,Black, In the Ear,3.9,10398,379,1999,1620
Aroma Nb120 Tehalka - 28 Hours Playtime Bluetooth Neckb...,Aroma,Black, In the Ear,3.9,10398,379,1999,1620
Aroma Nb120 Tehalka - 28 Hours Playtime Bluetooth Neckb...,Aroma,Black, In the Ear,3.9,10398,379,1999,1620
Aroma Nb120 Tehalka - 28 Hours Playtime Bluetooth Neckb...,Aroma,Black, In the Ear,3.9,10398,379,1999,1620
Aroma Nb120 Tehalka - 28 Hours Playtime Bluetooth Neckb...,Aroma,Black, In the Ear,3.9,10398,379,1999,1620
Aroma Nb120 Tehalka - 28 Hours Playtime Bluetooth Neckb...,Aroma,Black, In the Ear,3.9,10398,379,1999,1620
Aroma Nb120 Tehalka - 28 Hours Playtime Bluetooth Neckb...,Aroma,Black, In the Ear,3.9,10398,379,1999,1620
Aroma Nb120 Tehalka - 28 Hours Playtime Bluetooth Neckb...,Aroma,Black, In the Ear,3.9,10398,379,1999,1620
Aroma Nb120 Tehalka - 28 Hours Playtime Bluetooth Neckb...,Aroma,Black, In the Ear,3.9,10398,379,1999,1620
Aroma Nb120 Tehalka - 28 Hours Playtime Bluetooth Neckb...,Aroma,Black, In the Ear,3.9,10398,379,1999,1620
Aroma Nb120 Tehalka - 28 Hours Playtime Bluetooth Neckb...,Aroma,Black, In the Ear,3.9,10398,379,1999,1620
Aroma Nb120 Tehalka - 28 Hours Playtime Bluetooth Neckb...,Aroma,Black, In the Ear,3.9,10398,379,1999,1620
Unix Super Bass Metal Dynamic Wired Headset,Unix,Black, In the Ear,3.9,10398,141,1999,1858
Wecool Moonwalk M1 Bluetooth Earbuds With 20 Hours Play...,Wecool,Black, True Wireless,3.9,10398,799,1999,1200
Oxhox Hbs-730 Sports Stereo Headphone Bluetooth Headset,Oxhox,Black, In the Ear,3.5,12909,260,1999,1739
Jbl Tune 125Bt Bluetooth Headset,Jbl,Black, In the Ear,3.8,13159,1614,1999,385
U&I Fighter Series Deep Bass Neckband With 12 Hours Mus...,U&I,Black, In the Ear,3.9,13327,399,1999,1600
Figer Bt Sl 231 Bluetooth Headset,Figer,Silver, Black,3.9,14726,499,1999,1500
Sony C400 Bluetooth Headset,Sony,Blue, In the Ear,3.9,14726,3690,1999,1691
Boult Audio Bass Bud Q2 Wired Headset,Boult,Black, On the Ear,4.1,18050,590,1999,1409
Aroma Nb120 Tehalka - 28 Hours Playtime Bluetooth Neckb...,Aroma,Black, In the Ear,3.7,18513,379,1999,1620
Realme Buds Wireless Bluetooth Headset,Realme,Green, In the Ear,3.9,18893,1765,1999,234
Wecool Moonwalk Mini In Ear Bluetooth Earbuds With 16 H...,Wecool,Black, Yellow,3.9,18893,849,1999,1150
Jocoboo Sports Wireless Sh12 Stereo Headphone And Wired...,Jocoboo,Red, White,3.9,27565,549,1999,1450
Oneplus Buds Bluetooth Headset,Oneplus,Grey, True Wireless,4.1,31872,4990,1999,2991
Portronics Harmonics 216 Bluetooth Headset,Portronics,Blue, In the Ear,4.2,77904,759,1999,1240
Aroma Nb119C Carter - 36 Hours Playtime Bluetooth Neckb...,Aroma,Black, In the Ear,3.7,92346,449,1999,1550
Aroma Nb120B Dhoom - 28 Hours Playtime Bluetooth Neckba...,Aroma,Black, In the Ear,4.3,114661,379,1999,1620
U&I Fighter Series Deep Bass Neckband With 12 Hours Mus...,U&I,Black, In the Ear,4.3,114916,399,1999,1600
U&I Fighter Series Deep Bass Neckband With 12 Hours Mus...,U&I,Black, In the Ear,4,140618,399,1999,1600
Aroma Nb119D Dream - 48 Hours Playtime Bluetooth Neckba...,Aroma,Black, In the Ear,4.1,166582,599,1999,1400
Ubon Cl-117 Neckband Bluetooth Headset,Ubon,Orange, In the Ear,4.1,166582,489,1999,1510
Defy Crestx With 16 Hours Playtime And Low Latency Blue...,Defy,Electric Blue, In the Ear,4.2,229212,699,1999,1300
U&I Fighter Series Deep Bass Neckband With 12 Hours Mus...,U&I,Black, In the Ear,4.2,258319,399,1999,1600
Pokryt Hot Saleasap Charging Version 5.0 Bluetooth Earp...,Pokryt,Black, In the Ear,4,333036,899,1999,1100
Ubon Cl-116 Neckband Bluetooth Headset,Ubon,Yellow, In the Ear,4,333036,489,1999,1510
U&I Fighter Series Deep Bass Neckband With 12 Hours Mus...,U&I,Black, In the Ear,4.3,1049774,399,1999,1600
Wecool Moonwalk Mini In Ear Bluetooth Earbuds With 16 H...,Wecool,Black, Yellow,4.3,1049774,849,1999,1150
Callmate Single Ear Headset With 20 Hours Backup Blueto...,Callmate,Black, Blue,3.9,304,529,2000,1471
Samsung Uflex Headphone Wired Headset,Samsung,White, In the Ear,3.7,179619,220,2099,1879
Nokia T3010 Bluetooth Headset,Nokia,Crystal Blue, True Wireless,4.1,55,1499,2099,600
Ultador Wireless Neckband Bluetooth 40 Hours Battery Mu...,Ultador,Black, In the Ear,3.9,18893,899,2099,1200
Oneplus Bullets Wireless Z Bass Edition Bluetooth Heads...,Oneplus,Reverb Red, In the Ear,3.5,573,1999,2190,191
Sony 310Ap Wired Headset,Sony,Black, On the Ear,4,21132,949,2190,1241
Sony 310Ap Wired Headset,Sony,Black, On the Ear,4.2,245914,949,2190,1241
Oneplus Bullets Wireless Z Bass Edition Bluetooth Heads...,Oneplus,Bold Black, In the Ear,4.3,437395,1999,2190,191
Callmate Flex Curve (80 Hours Backup) Wireless Neckband...,Callmate,Gold, In the Ear,4.2,47,745,2199,1454
U&I Prank 30Hrs Music Time Wireless Neckband Bluetooth ...,U&I,Black, In the Ear,4.4,81,439,2199,1760
U&I Smash Series Neckband With 12 Hours Battery Backup ...,U&I,Black, In the Ear,3.4,1211,539,2199,1660
Tcl Socl200Bt Bluetooth Headset,Tcl,Phantom Black, In the Ear,3.3,1842,1199,2199,1000
Zebronics Zeb Yoga 90 Plus Bluetooth Headset,Zebronics,Blue, Black,3.8,42,899,2299,1400
Muzifit Boomband Rx135 Bluetooth Wireless Neckband With...,Muzifit,Grey, In the Ear,3.8,665,499,2299,1800
U&I Nice Series Ipx4 Neckband With 10 Hours Battery Bac...,U&I,Black, In the Ear,3.9,4050,599,2299,1700
Techfire L21 Wireless Earphone Mini Bluetooth 5.0 Headp...,Techfire,Black, In the Ear,3.7,92346,692,2450,1758
Sony Xb55Ap Wired Headset,Sony,Black, In the Ear,3.9,10398,2390,2490,100
Boult Audio Airbass Xpods Tws Earbuds With 20H Playtime...,Boult,Black, True Wireless,3.9,35280,1299,2490,1191
Aroma Nb133B Straight Wireless Earbuds Bluetooth Headse...,Aroma,Black, True Wireless,5,607039,699,2499,1800
Aroma Nb133B Straight Wireless Earbuds Bluetooth Headse...,Aroma,Black, True Wireless,3.5,1138024,699,2499,1800
Aroma Nb133B Straight Wireless Earbuds Bluetooth Headse...,Aroma,Black, True Wireless,1,479056,699,2499,1800
Aroma Nb133B Straight Wireless Earbuds Bluetooth Headse...,Aroma,Black, True Wireless,3.8,237863,699,2499,1800
Digiclues Upto 8 Hrs Playtime With Mic Bluetooth Headse...,Digiclues,Black, True Wireless,3.7,277,649,2499,1850
Samsung Ehs64 Wired Headset,Samsung,White, In the Ear,5,106397,499,2499,2000
Zsiv Bt-22 Super Bass Grey With Long Life Battery Bluet...,Zsiv,Black, In the Ear,5,427177,449,2499,2050
Aroma Nb119 Advance - 40 Hours Playtime Bluetooth Neckb...,Aroma,Yellow, Black,4.4,8,533,2499,1966
"Zebronics Zeb - Thunder Wired, Bluetooth Headset",Zebronics,Neon Yellow, On the Ear,3.5,8,899,2499,1600
Aroma Nb119 Advance - 40 Hours Playtime Bluetooth Neckb...,Aroma,Yellow, Black,4.2,10,533,2499,1966
Fier Magnet-K1-I7 Pack Of 3 Bluetooth Bluetooth Headset...,Fier,Black, White,4.5,13,369,2499,2130
Oud 150Hrs Music Time Wireless Deep Bass Stereo Sound N...,Oud,Black, In the Ear,3.7,15,799,2499,1700
"Borneo Opp.O Premium Ultra Hd Sound Sports,|Gym|Running...",Borneo,Black, In the Ear,3.7,19,241,2499,2258
Attrrix Wireless Earphones Bluetooth 5.0 Bluetooth Head...,Attrrix,Black, True Wireless,3.8,25,699,2499,1800
Aroma Nb119 Advance - 40 Hours Playtime Bluetooth Neckb...,Aroma,Yellow, Black,3.4,34,533,2499,1966
Samsung Original Ehs64Avfbecinu Ultra Bass Wired Headse...,Samsung,Black, In the Ear,3.6,53,499,2499,2000
Hypex Stylish Wired Headphone With High Bass Sound & Mi...,Hypex,Multicolor, On the Ear,3.3,69,199,2499,2300
Yodnso 42472 Wired Headset,Yodnso,Black, In the Ear,3.8,107,148,2499,2351
Aroma Nb119 Advance - 40 Hours Playtime Bluetooth Neckb...,Aroma,Yellow, Black,3.7,134,533,2499,1966
Zebronics Zeb-Rush Wired Gaming Headset,Zebronics,Red, On the Ear,4.1,172,1149,2499,1350
Zebronics Zeb-Rush Wired Gaming Headset,Zebronics,Blue, On the Ear,4.1,172,1149,2499,1350
Aroma Nb119 Advance - 40 Hours Playtime Bluetooth Neckb...,Aroma,Yellow, Black,3.9,191,533,2499,1966
Aroma Nb119 Metal - 40 Hours Playtime Bluetooth Neckban...,Aroma,Black, In the Ear,4,206,465,2499,2034
Aroma Nb119 Advance - 40 Hours Playtime Bluetooth Neckb...,Aroma,Yellow, Black,3.7,302,533,2499,1966
Aroma Nb119 Advance - 40 Hours Playtime Bluetooth Neckb...,Aroma,Yellow, Black,3.8,302,533,2499,1966
Tapfuture Airpro Bluetooth Headset,Tapfuture,White, True Wireless,3.4,302,699,2499,1800
Aroma Nb133B Straight Wireless Earbuds Bluetooth Headse...,Aroma,Black, True Wireless,3.5,573,699,2499,1800
Aroma Nb119 Titanium - 48 Hours Playtime Bluetooth Neck...,Aroma,Blue, In the Ear,3.8,631,649,2499,1850
Realme Buds Q2 Neo With Environment Noise Cancellation ...,Realme,Blue, True Wireless,3.8,631,1599,2499,900
Zebronics Yoga Bluetooth Headset,Zebronics,Black, Yellow,3.6,800,949,2499,1550
Aroma Nb119 Advance - 40 Hours Playtime Bluetooth Neckb...,Aroma,Yellow, Black,3.6,802,533,2499,1966
Aroma Nb119 Bullet - 40 Hours Playtime Bluetooth Neckba...,Aroma,Red, Black,3.8,825,528,2499,1971
Ubon Cl-116 Neckband Bluetooth Headset,Ubon,Yellow, In the Ear,3.8,825,489,2499,2010
Aroma Nb119 Diamond - 50 Hours Playtime Bluetooth Neckb...,Aroma,Black, In the Ear,4.1,866,649,2499,1850
Boult Audio Probass Curve Neckband Bluetooth Headset,Boult,Black, Grey,4,1143,999,2499,1500
Aroma Nb119 Advance - 40 Hours Playtime Bluetooth Neckb...,Aroma,Yellow, Black,3.5,1169,533,2499,1966
"Punnkfunnk K20 Gaming Headset, Over Ear Gaming Headphon...",Punnkfunnk,Black, On the Ear,3.5,1713,949,2499,1550
Aroma Nb119 Advance - 40 Hours Playtime Bluetooth Neckb...,Aroma,Yellow, Black,3.3,1842,533,2499,1966
Fpx Flex Pro With 35 Hrs Playtime Bluetooth Headset,Fpx,Red, Black,3.3,1842,699,2499,1800
Aroma Nb119 Advance - 40 Hours Playtime Bluetooth Neckb...,Aroma,Yellow, Black,3.6,1904,533,2499,1966
Tapfuture L21 Tws Bluetooth Headset,Tapfuture,Black, In the Ear,3.6,1904,689,2499,1810
The Mobile Point True Wireless Bluetooth Headset Blueto...,The,Black, True Wireless,3.4,1917,495,2499,2004
The Mobile Point True Wireless Bluetooth Headset Blueto...,The,Black, True Wireless,3.4,1917,495,2499,2004
Fire-Boltt Bn1000 Bluetooth Headset,Fier,Black Red, In the Ear,4,1934,1299,2499,1200
"Microflash Touch, Voice Control-Led Display Earbuds Blu...",Microflash,Black, True Wireless,4,2014,1199,2499,1300
"Fpx Roar Wireless Bluetooth Neckband, Magneticbuds 33Hr...",Fpx,Grey , Silver,4,2193,699,2499,1800
Aroma Nb119 Platinum - 48 Hours Playtime Bluetooth Neck...,Aroma,Black, In the Ear,4,2684,649,2499,1850
Aroma Nb119 Advance - 40 Hours Playtime Bluetooth Neckb...,Aroma,Yellow, Black,4,2834,533,2499,1966
Dizo By Realme Techlife Gopods D With Enviornment Noise...,Dizo,White, True Wireless,4,2834,999,2499,1500
Grostar Tws A6S Ear Buds True Wireless A6S Bluetooth (B...,Grostar,Black, True Wireless,4,2834,667,2499,1832
Wow Wireless Wx-250 Bluetooth Neckband With 30 Hours Ba...,Wow,Blue, In the Ear,4,2834,649,2499,1850
Aroma Nb119 Advance - 40 Hours Playtime Bluetooth Neckb...,Aroma,Yellow, Black,3.8,3440,533,2499,1966
Aroma Nb133B Straight Wireless Earbuds Bluetooth Headse...,Aroma,Black, True Wireless,3.3,4027,699,2499,1800
Brd Bluetoothheadset-B2 Bluetooth Headset,Brd,Black, True Wireless,3.7,6288,174,2499,2325
Aroma Nb119 Advance - 40 Hours Playtime Bluetooth Neckb...,Aroma,Yellow, Black,3.7,8086,533,2499,1966
Aroma Nb120 Tehalka - 28 Hours Playtime Bluetooth Neckb...,Aroma,Black, In the Ear,3.9,10398,379,2499,2120
Wecool In-Ear Wired Earphones With Mic Wired Headset,Wecool,Red, In the Ear,3.9,13339,279,2499,2220
Aroma Nb119 Titanium - 48 Hours Playtime Bluetooth Neck...,Aroma,Black, In the Ear,4.1,14148,649,2499,1850
Aroma Nb119 Advance - 40 Hours Playtime Bluetooth Neckb...,Aroma,Yellow, Black,3.7,18513,533,2499,1966
Realme Buds 2 Neo With Hd Mic Wired Headset,Realme,Black, In the Ear,4.2,19975,499,2499,2000
Aroma Nb133B Straight Wireless Earbuds Bluetooth Headse...,Aroma,Black, True Wireless,4,21398,699,2499,1800
Aroma Nb133B Straight Wireless Earbuds Bluetooth Headse...,Aroma,Black, True Wireless,3.5,24696,699,2499,1800
Aroma Nb136A Rifle Gaming Earbuds Bluetooth Gaming Head...,Aroma,Black, True Wireless,4,30895,854,2499,1645
Dizo By Realme Techlife Gopods D With Enviornment Noise...,Dizo,Black, True Wireless,4,30895,999,2499,1500
Aroma Nb119 Advance - 40 Hours Playtime Bluetooth Neckb...,Aroma,Yellow, Black,3.9,35280,533,2499,1966
Sony Wi-C310 Bluetooth Headset,Sony,Blue, In the Ear,3.9,35280,1999,2499,500
Ubon Cl-20Fb Wireless Neckband | Built-In 6Hrs Bluetoot...,Ubon,Red, In the Ear,3.6,39073,559,2499,1940
Boat Rockerz 370 Bluetooth Headset,Boat,Gregarious Green, On the Ear,4.2,40041,999,2499,1500
U&I Pasta Series Extra Bass Wired Earphone With Mic Wir...,U&I,Brown, In the Ear,4.3,44831,170,2499,2329
Mivi Collar Classic Neckband With Fast Charging Bluetoo...,Mivi,Black, In the Ear,3.4,56834,699,2499,1800
Aroma Nb133B Straight Wireless Earbuds Bluetooth Headse...,Aroma,Black, True Wireless,4.2,58523,699,2499,1800
Realme Buds Wireless 2 Neo With Type-C Fast Charge & Ba...,Realme,Black, In the Ear,4,63970,1499,2499,1000
Samsung Ehs64 Wired Headset,Samsung,White, In the Ear,4.2,77904,499,2499,2000
U&I Crash 30Hrs Musictime Wirelessneckband With Call Vi...,U&I,Black, In the Ear,4.1,82872,449,2499,2050
U&I Yes Series Original True Wireless Headset - 8 Hours...,U&I,White, True Wireless,4,92275,949,2499,1550
Mivi Collar Classic Neckband With Fast Charging Bluetoo...,Mivi,Blue, In the Ear,3.9,99486,699,2499,1800
Wow Wireless True Wireless Airpods Bluetooth Headset Wi...,Wow,Black, True Wireless,4.1,173069,799,2499,1700
Realme Buds Q2 Neo With Environment Noise Cancellation ...,Realme,Black, True Wireless,3.9,217931,1599,2499,900
Boat Bassheads 900 Super Extra Bass Wired Headset,Boat,Pearl White, On the Ear,4.4,238169,699,2499,1800
Aroma Nb119 Advance - 40 Hours Playtime Bluetooth Neckb...,Aroma,Yellow, Black,4.2,1299042,533,2499,1966
Stylord Rml-Bt-1 Bluetooth Headset,Stylord,Yellow, In the Ear,4,2110,359,2524,2165
Techfire Neckband Wireless Headphones With 16 Hours Pla...,Techfire,Red, In the Ear,3.5,843,399,2550,2151
Techfire Neckband Wireless Headphones With 16 Hours Pla...,Techfire,Yellow, In the Ear,3.5,1070,399,2550,2151
Mivi Collar Classic Neckband With Fast Charging Bluetoo...,Mivi,Red, In the Ear,3.9,99486,699,2665,1966
Hrx X-Drops 440G Bluetooth Headset,Hrx,Black, In the Ear,3.9,669,1499,2699,1200
Ptron Basspods 281 In-Ear True Wireless Bluetooth 5.1 H...,Ptron,Black, Grey,3.8,1860,999,2699,1700
Jbl T165Bt Bluetooth Headset,Jbl,Black, In the Ear,3.8,3871,1699,2699,1000
Zebronics Zeb-Iron Head Wired Gaming Headset,Zebronics,Black, On the Ear,3.8,86505,999,2799,1800
Boult Audio Airbass Xpods Tws Earbuds With 20H Playtime...,Boult,Black, True Wireless,3.4,944989,1299,2800,1501
Qexle Neckband Bt Compatible 730 With Light Bass Sport ...,Qexle,Black, In the Ear,4,194002,399,2848,2449
N2B Magnet-K1-I7 Pack Of 3 Bluetooth Bluetooth Headset,N2B,Black, White,3.9,13327,421,2848,2427
N2B Magnet-K1-I7 Pack Of 3 Bluetooth Bluetooth Headset,N2B,Black, White,3.9,13327,421,2848,2427
N2B Magnet-K1-I7 Pack Of 3 Bluetooth Bluetooth Headset,N2B,Black, White,3.3,26491,421,2848,2427
Techfire Bullet M-31 Pro 2 Neckband Wireless Bluetooth ...,Techfire,TEAL GREEN, In the Ear,4.8,4,599,2850,2251
Techfire Platinum Series Neckband - Low Price Bluetooth...,Techfire,Black, In the Ear,3.7,31,599,2850,2251
Techfire Bullet M-31 Pro 2 Neckband Wireless Bluetooth ...,Techfire,TEAL GREEN, In the Ear,3.7,54,599,2850,2251
Techfire Platinum Series Neckband - Low Price Bluetooth...,Techfire,Blue, In the Ear,3.8,631,599,2850,2251
Techfire Platinum Series Neckband - Low Price Bluetooth...,Techfire,Red, In the Ear,3.8,3440,578,2850,2272
Techfire Platinum Series Neckband - Low Price Bluetooth...,Techfire,Black, In the Ear,3.8,3440,599,2850,2251
Techfire Tf-110 Pro-36 Hours Playtime Wireless Neckband...,Techfire,TEAL GREEN, In the Ear,4,3463,599,2850,2251
Zebronics Zeb-Symphony Bluetooth Headset,Zebronics,Black, In the Ear,4.3,114661,649,2850,2201
Claw Sm50 Professional Wired Headset,Claw,Black, On the Ear,3.3,38,1890,2990,1100
Boat Rockerz 255F Bluetooth Headset,Boat,Active Black, In the Ear,4.3,90,1099,2990,1891
Sony Wi-C200 Bluetooth Headset,Sony,White, In the Ear,3.4,482,2090,2990,900
Boat Rockerz 333 Pro With 60 Hours Battery Bluetooth He...,Boat,Navy Blue, In the Ear,4.3,1752,1799,2990,1191
"Fier Fgn-K1B,K1W Pack 2Bluetooth,Headphone Bluetooth He...",Fier,Black, White,4,1934,217,2990,2773
Sony Wi-C200 Bluetooth Headset,Sony,Black, In the Ear,4,1934,2069,2990,921
Jbl T110Bt Wireless Pure Bass Bluetooth Headset,Jbl,Grey, In the Ear,3.9,3034,1648,2990,1342
Boat Rockerz 235V2 With Asap Charging Version 5.0 Bluet...,Boat,Red, In the Ear,4.1,5803,999,2990,1991
Aroma Nb120 Tehalka - 28 Hours Playtime Bluetooth Neckb...,Aroma,Black, In the Ear,4,6102,379,2990,2611
Boat Airdopes 131 Bluetooth Headset,Boat,Midnight Blue, True Wireless,3.4,12140,1099,2990,1891
Sony Wi-C310 Bluetooth Headset,Sony,Black, In the Ear,3.9,28493,2675,2990,315
Boat Rockerz 235V2 With Asap Charging Version 5.0 Bluet...,Boat,Black, In the Ear,3.4,48161,999,2990,1991
Boat Rockerz 400 Bluetooth Headset,Boat,Red, Black,4.3,310831,1299,2990,1691
Boat Rockerz 400 Bluetooth Headset,Boat,Carbon Black, On the Ear,4.3,310831,1499,2990,1491
Boat Rockerz 235V2 With Asap Charging Version 5.0 Bluet...,Boat,Blue, In the Ear,4.3,437395,999,2990,1991
Boat Airdopes 131 Bluetooth Headset,Boat,Cherry Blossom, True Wireless,4,625672,1099,2990,1891
Boat Airdopes 131 Bluetooth Headset,Boat,Active Black, True Wireless,4.2,1299042,1099,2990,1891
Boat Rockerz 235V2 Bluetooth Headset,Boat,Black, In the Ear,4.2,1299042,999,2990,1991
Rpmsd True Wireless Probuds Headphone Earphone With Cha...,Rpmsd,Black, Red,3.3,40,1327,2995,1668
Aroma Nb119 Champion - 50 Hours Playtime Bluetooth Neck...,Aroma,Blue, In the Ear,4,1650,649,2999,2350
Fpx Emerald With 60 Hrs Playtime Bluetooth Headset,Fpx,Blue, In the Ear,1,1121685,759,2999,2240
"Fpx Emerald In Ear Neckband 60Hr Playtime Sd Card Slot,...",Fpx,Grey, In the Ear,3.8,612883,679,2999,2320
"Kdm Wireless Earbuds 15 Hrs Playtime (4 Hrs Earbuds, 11...",Kdm,Grey, In the Ear,5,65605,1499,2999,1500
Zebronics Zeb- Yoga 90 Pro Wireless Neckband (Black) Bl...,Zebronics,Black, In the Ear,4.1,9,937,2999,2062
Futurestarrkk Air_Pods Pro Wireless Headphone With Char...,Futurestarrkk,White, True Wireless,4.2,10,1499,2999,1500
Soundcore By Anker R500 Fast Charging Neckband With 20 ...,Soundcore,Black, In the Ear,3.6,11,1480,2999,1519
Aroma Nb134C Gun Gaming Earbuds Bluetooth Gaming Headse...,Aroma,Black, True Wireless,3.3,18,949,2999,2050
Aroma Nb134C Gun Gaming Earbuds Bluetooth Gaming Headse...,Aroma,Black, True Wireless,3.3,18,949,2999,2050
Aroma Nb119 Freedom - 72 Hours Playtime Bluetooth Neckb...,Aroma,Black, In the Ear,3.8,27,749,2999,2250
U&I Possible Series Neckband With 60 Hours Music Time B...,U&I,Black, In the Ear,4,35,599,2999,2400
Zofia 2Earbud Bluetooth Headset,Zofia,Black, True Wireless,4.2,38,1299,2999,1700
Samsung Level U2 With Type-C Charging Bluetooth Headset,Samsung,Black, In the Ear,3.3,56,2199,2999,800
Digiclues Bass-Dops Bluetooth Headset,Digiclues,Black, True Wireless,3.3,85,999,2999,2000
Crezor Air_Pods Pro Headphone Buds Bluetooth Headset Bl...,Crezor,White, True Wireless,3.6,97,749,2999,2250
Fire-Boltt Bh1000 Bluetooth Headset,Fier,Black Blue, On the Ear,3.9,100,1599,2999,1400
Ambrane Bassband Beat Bluetooth Headset,Ambrane,Grey, In the Ear,4.2,120,759,2999,2240
Mln Sports-1062 30 Hours Play Time Neckband Bluetooth H...,Mln,Black, In the Ear,3.7,124,599,2999,2400
Sunnybuy Tws T8 True Air_Buds Wireless High Bass Premiu...,Sunnybuy,Black, True Wireless,3.5,154,1199,2999,1800
Crezor Air_Pods Pro Headphone Buds Bluetooth Headset Bl...,Crezor,White, True Wireless,3.2,232,749,2999,2250
Vingajoy Quick Charge Cl-50 Wireless Neckband 45H Playt...,Vingajoy,Black, In the Ear,3.9,246,995,2999,2004
Samsung Original Ehs64Avfwecinu Wired Headset,Samsung,White, In the Ear,4.1,287,499,2999,2500
Royalrich Led Display Tws Earbuds Bluetooth Headset,Royalrich,Black, True Wireless,4,306,999,2999,2000
Fpx Sprint With 30 Hrs Playtime And Fast Charging Bluet...,Fpx,Gold, In the Ear,3.6,393,799,2999,2200
Nokia T2000 Rapid Charge Neckband Bluetooth Headset,Nokia,Midnight Black, In the Ear,3.5,459,1999,2999,1000
Micromax Airfunk 1 Bluetooth Headset,Micromax,Black, True Wireless,3.9,626,1234,2999,1765
Prembrothers U&I Hammer Series Uinb-4824 Neckband With ...,Prembrothers,Black, Red,3.5,843,949,2999,2050
Hitage Nbt-6586+ Red Ultra Battery Magnetic Sports Part...,Hitage,Red, In the Ear,3.7,1039,900,2999,2099
Aroma Nb119 Champion - 50 Hours Playtime Bluetooth Neck...,Aroma,Black, In the Ear,4.1,1089,649,2999,2350
Aroma Nb119 Champion - 50 Hours Playtime Bluetooth Neck...,Aroma,Black, In the Ear,4.1,1089,649,2999,2350
Boult Audio Probass Curve Neckband Bluetooth Headset,Boult,Blue, Black,4,1193,799,2999,2200
Digiclues B-235 Wireless Neckband With Mic Powerful Ste...,Digiclues,Black, True Wireless,3.8,1212,699,2999,2300
Kdm A-2 Sport 50H Musi Time Wireless Bluetooth Headset ...,Kdm,Black, True Wireless,3.5,1288,969,2999,2030
Mivi Duopods M20 True Wireless Bluetooth Headset,Mivi,Blue, True Wireless,3.8,1748,799,2999,2200
Jbl Tune 125Bt Bluetooth Headset,Jbl,Grey, In the Ear,3.3,1842,1614,2999,1385
Mivi Duopods M20 True Wireless Bluetooth Headset,Mivi,Black, True Wireless,3.3,1842,799,2999,2200
Portronics Harmonics 216 Bluetooth Headset,Portronics,Blue, In the Ear,3.3,1842,759,2999,2240
Ucool Elitesport 50 Hours Playtime Wireless Neckband Ea...,Ucool,Black, Grey,3.3,1842,749,2999,2250
Nu Republic Flo 2 Bluetooth Headset,Nu,Black, True Wireless,3.6,1904,999,2999,2000
U&I Alarm Series 40Hrs Music Time Wireless Neckband Ear...,U&I,Black, In the Ear,3.6,1904,495,2999,2504
U&I Alarm Series 40Hrs Music Time Wireless Neckband Ear...,U&I,Red, In the Ear,4.1,2472,495,2999,2504
Aroma Nb119 Rock - 40 Hours Playtime Bluetooth Neckband...,Aroma,Black, In the Ear,4,2909,669,2999,2330
Aroma Nb119 Rock - 40 Hours Playtime Bluetooth Neckband...,Aroma,Orange, In the Ear,4,2909,669,2999,2330
"Fpx Emerald In Ear Neckband 60Hr Playtime Sd Card Slot,...",Fpx,Grey, In the Ear,3.8,3179,679,2999,2320
